Link,MLS,Address,Status,Asking,Zillow
,1414580,"109 Wildberry Ln, Goose Creek, SC 29445",New,"$220,000 ","http://www.zillow.com/homes/109 Wildberry Ln, Goose Creek, SC 29445_rb/"
,1414591,"706 Ponderosa Dr, Charleston, SC 29414-5140",New,"$197,500 ","http://www.zillow.com/homes/706 Ponderosa Dr, Charleston, SC 29414-5140_rb/"
,1414601,"5857 Andreas Way, North Charleston, SC 29418",New,"$209,900 ","http://www.zillow.com/homes/5857 Andreas Way, North Charleston, SC 29418_rb/"
,1414616,"286 Cameron St, Summerville, SC 29483",New,"$219,999 ","http://www.zillow.com/homes/286 Cameron St, Summerville, SC 29483_rb/"
,1414617,"301 Monarch Ct, Charleston, SC 29414",New,"$225,000 ","http://www.zillow.com/homes/301 Monarch Ct, Charleston, SC 29414_rb/"
,1414630,"7523 Hawks Cir, Hanahan, SC 29410",New,"$235,000 ","http://www.zillow.com/homes/7523 Hawks Cir, Hanahan, SC 29410_rb/"
,1414632,"4761 Langridge Dr, Charleston, SC 29405",New,"$196,000 ","http://www.zillow.com/homes/4761 Langridge Dr, Charleston, SC 29405_rb/"
,1414643,"214 Bramblewood Dr, Summerville, SC 29485",New,"$187,900 ","http://www.zillow.com/homes/214 Bramblewood Dr, Summerville, SC 29485_rb/"
,1414673,"8534 Randell Ct, North Charleston, SC 29420",New,"$175,000 ","http://www.zillow.com/homes/8534 Randell Ct, North Charleston, SC 29420_rb/"
,1414701,"151 Aylesbury Rd, Goose Creek, SC 29445",New,"$179,777 ","http://www.zillow.com/homes/151 Aylesbury Rd, Goose Creek, SC 29445_rb/"
,1414704,"402 Ashburton Dr, Goose Creek, SC 29445",New,"$167,890 ","http://www.zillow.com/homes/402 Ashburton Dr, Goose Creek, SC 29445_rb/"
,1414716,"2121 Saint Peters Ln, Charleston, SC 29414",New,"$244,500 ","http://www.zillow.com/homes/2121 Saint Peters Ln, Charleston, SC 29414_rb/"
,1414724,"209 Eagle Ridge Rd, Summerville, SC 29485-8479",New,"$200,000 ","http://www.zillow.com/homes/209 Eagle Ridge Rd, Summerville, SC 29485-8479_rb/"
,1414725,"1136 Culpepper Cir, Charleston, SC 29407-4224",New,"$249,000 ","http://www.zillow.com/homes/1136 Culpepper Cir, Charleston, SC 29407-4224_rb/"
,1414736,"301 Edenton Road, Goose Creek, SC 29445",New,"$224,900 ","http://www.zillow.com/homes/301 Edenton Road, Goose Creek, SC 29445_rb/"
,1414744,"1262 Joshua Dr, Charleston, SC 29407",New,"$219,000 ","http://www.zillow.com/homes/1262 Joshua Dr, Charleston, SC 29407_rb/"
,1414747,"45 Regency Oaks Dr, Summerville, SC 29485",New,"$179,900 ","http://www.zillow.com/homes/45 Regency Oaks Dr, Summerville, SC 29485_rb/"
,1414751,"1342 Palm Cove Dr, Charleston, SC 29492",New,"$225,000 ","http://www.zillow.com/homes/1342 Palm Cove Dr, Charleston, SC 29492_rb/"
,1414758,"7264 Sweetgrass Blvd, Hanahan, SC 29410",New,"$240,000 ","http://www.zillow.com/homes/7264 Sweetgrass Blvd, Hanahan, SC 29410_rb/"
,1414774,"2873 Summertrees Blvd, Johns Island, SC 29455",New,"$260,000 ","http://www.zillow.com/homes/2873 Summertrees Blvd, Johns Island, SC 29455_rb/"
,1414781,"18 Creek Bend Dr, Summerville, SC 29485",New,"$199,000 ","http://www.zillow.com/homes/18 Creek Bend Dr, Summerville, SC 29485_rb/"
,1414793,"8669 Deerwood Dr, North Charleston, SC 29406",New,"$166,900 ","http://www.zillow.com/homes/8669 Deerwood Dr, North Charleston, SC 29406_rb/"
,1414825,"119 Hartley Hall Ct, Summerville, SC 29485",New,"$191,900 ","http://www.zillow.com/homes/119 Hartley Hall Ct, Summerville, SC 29485_rb/"
,1414837,"107 Queensbury Cir, Goose Creek, SC 29445",New,"$259,000 ","http://www.zillow.com/homes/107 Queensbury Cir, Goose Creek, SC 29445_rb/"
,1414875,"1949 Teakwood Rd, Charleston, SC 29414",New,"$199,900 ","http://www.zillow.com/homes/1949 Teakwood Rd, Charleston, SC 29414_rb/"
,1414892,"135 Brightwood Dr, Huger, SC 29450",New,"$189,500 ","http://www.zillow.com/homes/135 Brightwood Dr, Huger, SC 29450_rb/"
,1414900,"2207 Dawn Hill Dr, Charleston, SC 29414",New,"$249,900 ","http://www.zillow.com/homes/2207 Dawn Hill Dr, Charleston, SC 29414_rb/"
,1414904,"3174 Old Highway 52, Moncks Corner, SC 29461",New,"$177,500 ","http://www.zillow.com/homes/3174 Old Highway 52, Moncks Corner, SC 29461_rb/"
,1414929,"8503 Sentry Cir, North Charleston, SC 29420-8350",New,"$240,000 ","http://www.zillow.com/homes/8503 Sentry Cir, North Charleston, SC 29420-8350_rb/"
,1414945,"187 Mayfield Dr, Goose Creek, SC 29445",New,"$249,999 ","http://www.zillow.com/homes/187 Mayfield Dr, Goose Creek, SC 29445_rb/"
,1414950,"1487 Coopers Hawk Dr, Hanahan, SC 29410-8236",New,"$225,000 ","http://www.zillow.com/homes/1487 Coopers Hawk Dr, Hanahan, SC 29410-8236_rb/"
,1414959,"102 Deer Run Ct, Goose Creek, SC 29445",New,"$225,000 ","http://www.zillow.com/homes/102 Deer Run Ct, Goose Creek, SC 29445_rb/"
,1415001,"193 Wickford Ct, Summerville, SC 29485",New,"$234,900 ","http://www.zillow.com/homes/193 Wickford Ct, Summerville, SC 29485_rb/"
,1415039,"5766 Wyncliff Rd, North Charleston, SC 29418",New,"$200,000 ","http://www.zillow.com/homes/5766 Wyncliff Rd, North Charleston, SC 29418_rb/"
,1415042,"304 Greens Ct, Goose Creek, SC 29445",New,"$199,900 ","http://www.zillow.com/homes/304 Greens Ct, Goose Creek, SC 29445_rb/"
,1415058,"4965 Victoria Ave, North Charleston, SC 29405-4223",New,"$219,000 ","http://www.zillow.com/homes/4965 Victoria Ave, North Charleston, SC 29405-4223_rb/"
,1415059,"1321 Balcome Rd, Mount Pleasant, SC 29466-8517",New,"$260,000 ","http://www.zillow.com/homes/1321 Balcome Rd, Mount Pleasant, SC 29466-8517_rb/"
,1415069,"123 Droos Way, Charleston, SC 29414-6861",New,"$179,900 ","http://www.zillow.com/homes/123 Droos Way, Charleston, SC 29414-6861_rb/"
